Date,Open,High,Low,Close,Dol
22/04/1996,5075.65,5136.77,5066.66,5079.69,0.9912
23/04/1996,5079.69,5079.69,5032.39,5061.92,0.9909
24/04/1996,5061.92,5090.78,5040.61,5047.01,0.9913
25/04/1996,5047.01,5121.88,5047.01,5121.88,0.9913
26/04/1996,5121.88,5161.17,5120.81,5142.61,0.9916
29/04/1996,5142.61,5149.32,5098.32,5149.32,0.9922
30/04/1996,5149.32,5180.82,5134.07,5164.1,0.9921
01/05/1996,5149.32,5180.82,5134.07,5164.1,0.9921
02/05/1996,5164.1,5190.92,5132.52,5146,0.9921
03/05/1996,5146,5170.23,5101.26,5101.46,0.9919
06/05/1996,5101.46,5168.94,5097.38,5153.02,0.9922
07/05/1996,5153.02,5284.39,5141.59,5283.98,0.9919
08/05/1996,5283.98,5362.45,5272.93,5360.51,0.9921
09/05/1996,5360.51,5406.89,5340.27,5388.54,0.993
10/05/1996,5388.54,5413.58,5338.64,5345.49,0.994
13/05/1996,5345.49,5482.62,5345.49,5480.21,0.994
14/05/1996,5480.21,5508.34,5385.34,5428.11,0.9965
15/05/1996,5428.11,5499.7,5422.31,5448.34,0.997
16/05/1996,5448.34,5494.92,5379.37,5475.64,0.9961
17/05/1996,5475.64,5570.24,5475.64,5560.36,0.9951
20/05/1996,5560.36,5661.92,5532.41,5655.69,0.9952
21/05/1996,5655.69,5675.67,5590.67,5601.96,0.9952
22/05/1996,5601.96,5683.73,5551.99,5681.53,0.9953
23/05/1996,5681.53,5681.53,5522.06,5530.87,0.9958
24/05/1996,5530.87,5602.92,5530.87,5600.67,0.9967
27/05/1996,5600.67,5631.87,5584.87,5627.99,0.9958
28/05/1996,5627.99,5721.17,5627.99,5710.84,0.9961
29/05/1996,5710.84,5713.04,5625.67,5625.72,0.9963
30/05/1996,5625.72,5687.8,5610.46,5687.8,0.9967
31/05/1996,5687.8,5762.41,5662.4,5727.99,0.9981
03/06/1996,5727.99,5731.63,5631.59,5635.07,0.9981
04/06/1996,5635.07,5696.04,5587,5599.42,0.9981
05/06/1996,5599.42,5615.35,5543.81,5567.89,0.9982
06/06/1996,#N/A,#N/A,#N/A,#N/A,0.9982
07/06/1996,5567.89,5567.89,5496.04,5530.23,0.9991
10/06/1996,5530.23,5575.45,5432.68,5457.2,0.9991
11/06/1996,5457.2,5476.08,5400.37,5413.43,0.9993
12/06/1996,5413.43,5536.36,5397.77,5532.47,1.0011
13/06/1996,5532.47,5532.47,5444.12,5503.79,1.0011
14/06/1996,5503.79,5634.86,5487.22,5634.86,1.0011
17/06/1996,5634.86,5806.32,5634.86,5804.85,1.001
18/06/1996,5804.85,5871.78,5798.96,5834.6,1.0011
19/06/1996,5834.6,5864.05,5792.09,5817.14,1.0016
20/06/1996,5817.14,5824.06,5782.5,5823.04,1.0025
21/06/1996,5823.04,6065.28,5823.04,6053.14,1.0028
24/06/1996,6053.14,6216.28,6053.14,6201.81,1.0021
25/06/1996,6201.81,6204.81,6077.64,6082.41,1.0025
26/06/1996,6082.41,6279.2,6074.63,6227.16,1.0025
27/06/1996,6227.16,6303.08,6145.4,6181.59,1.0032
28/06/1996,6181.59,6211.76,6024.78,6043.89,1.004
01/07/1996,6043.89,6173.51,6043.89,6156.19,1.004
02/07/1996,6156.19,6281.58,6156.19,6245.51,1.0048
03/07/1996,6245.51,6371.81,6245.51,6355.85,1.005
04/07/1996,6355.85,6472.92,6310.94,6432.1,1.0047
05/07/1996,6432.1,6432.1,6277.79,6286.46,1.0042
08/07/1996,6286.46,6381.86,6247.3,6338.78,1.004
09/07/1996,6338.78,6522.67,6338.73,6487.97,1.0051
10/07/1996,6487.97,6544.02,6380.98,6444.71,1.0053
11/07/1996,6444.6,6512.23,6385.66,6508.52,1.0052
12/07/1996,6508.52,6713.2,6508.52,6652.19,1.0052
15/07/1996,6652.19,6675.82,6428.98,6432.91,1.0058
16/07/1996,6432.91,6455.34,6055.47,6293.45,1.0061
17/07/1996,6293.45,6442.06,6204.92,6214.68,1.0062
18/07/1996,6214.68,6310.64,6149.11,6188.8,1.0072
19/07/1996,6188.8,6429.89,6188.8,6411.65,1.0069
22/07/1996,6411.65,6442.13,6275.05,6299.14,1.0073
23/07/1996,6299.14,6331.05,6218.19,6222.59,1.0074
24/07/1996,6222.59,6222.59,6039.81,6050.99,1.0082
25/07/1996,6050.99,6108.86,5898.22,6096.31,1.0084
26/07/1996,6096.31,6159.51,5968.12,5968.46,1.0082
29/07/1996,5968.46,6006.83,5889.08,5909.39,1.0095
30/07/1996,5909.39,6147,5878.41,6143.34,1.0104
31/07/1996,6143.34,6271.13,6089.98,6123.29,1.0123
01/08/1996,6123.29,6307.95,6123.29,6277.31,1.0102
02/08/1996,6277.31,6400.47,6277.31,6363.58,1.0097
05/08/1996,6363.58,6365.61,6228.17,6244.15,1.0093
06/08/1996,6244.15,6244.15,6092.01,6130.75,1.0102
07/08/1996,6130.75,6188.04,6099.32,6165.26,1.0112
08/08/1996,6165.26,6258.63,6135.54,6257.25,1.0109
09/08/1996,6257.25,6335.36,6198.95,6222.76,1.0114
12/08/1996,6222.76,6315.03,6160.25,6304.19,1.0118
13/08/1996,6304.19,6332.97,6181.49,6227.71,1.0122
14/08/1996,6227.71,6282.97,6191.23,6227.1,1.0125
15/08/1996,6227.1,6373.82,6227.1,6348.41,1.0125
16/08/1996,6348.41,6393.16,6331.12,6352.86,1.0131
19/08/1996,6352.86,6355.34,6265.36,6292.14,1.0132
20/08/1996,6292.14,6337.77,6270.77,6337.13,1.014
21/08/1996,6337.13,6376.91,6284.19,6314.78,1.0144
22/08/1996,6314.78,6326.44,6239.19,6248.95,1.0145
23/08/1996,6248.95,6248.98,6143.97,6202.71,1.0143
26/08/1996,6202.71,6214.37,6016.89,6028.06,1.0152
27/08/1996,6028.06,6126.1,6028.06,6126.1,1.0155
28/08/1996,6126.1,6300.94,6126.1,6294.76,1.0157
29/08/1996,6294.76,6354.03,6239.02,6270.03,1.0165
30/08/1996,6270.03,6287.4,6173.17,6259.41,1.0165
02/09/1996,6259.4,6269.07,6219.46,6232.55,1.0161
03/09/1996,6232.55,6284.05,6143.14,6270.04,1.0163
04/09/1996,6270.04,6280.47,6238.72,6276.87,1.0168
05/09/1996,6276.87,6294.94,6234.11,6254.01,1.017
06/09/1996,6254.01,6349.79,6254.01,6334.62,1.0175
09/09/1996,6334.62,6386.83,6330.98,6382.76,1.0187
10/09/1996,6382.76,6416.63,6376.81,6415.78,1.0196
11/09/1996,6415.78,6425.12,6347.08,6358.07,1.0184
12/09/1996,6358.07,6413.16,6358.07,6390.98,1.0193
13/09/1996,6390.98,6497.09,6390.98,6464.29,1.0196
16/09/1996,6464.29,6538.89,6464.29,6534.28,1.0188
17/09/1996,6534.28,6557.75,6482.52,6512.41,1.0191
18/09/1996,6512.41,6512.41,6458.19,6489.64,1.0192
19/09/1996,6489.64,6560.21,6468.2,6560.21,1.0192
20/09/1996,6560.21,6631.46,6560.21,6588.26,1.019
23/09/1996,6588.26,6588.86,6514.05,6551.74,1.0196
24/09/1996,6551.74,6621.34,6544.39,6557.05,1.0198
25/09/1996,6563.79,6571.31,6492.09,6513.88,1.0201
26/09/1996,6513.88,6544.71,6502.97,6535.92,1.0202
27/09/1996,6535.92,6542.84,6453.86,6458.88,1.0206
30/09/1996,6458.88,6476.63,6423.33,6446.87,1.0211
01/10/1996,6446.87,6522.67,6435.08,6521.78,1.0211
02/10/1996,6521.78,6611.43,6521.78,6605.81,1.0212
03/10/1996,#N/A,#N/A,#N/A,#N/A,1.0212
04/10/1996,6605.81,6659.11,6588.16,6626.94,1.022
07/10/1996,6626.94,6627.29,6573.97,6612.66,1.0217
08/10/1996,6612.66,6658.96,6609.54,6651.58,1.0219
09/10/1996,6651.58,6669.2,6592.9,6631.08,1.0222
10/10/1996,6631.08,6633.71,6593.84,6626.75,1.0235
11/10/1996,6626.75,6677.94,6601.11,6608.68,1.025
14/10/1996,6608.68,6631.32,6582.14,6631.32,1.0243
15/10/1996,6631.32,6744.98,6631.32,6744.94,1.0247
16/10/1996,6744.94,6775.88,6670.77,6733.54,1.0249
17/10/1996,6733.54,6783.61,6714.5,6766.04,1.0246
18/10/1996,6766.04,6814.62,6746.26,6798.15,1.0248
21/10/1996,6798.15,6850.93,6761.67,6798.92,1.025
22/10/1996,6798.92,6798.92,6670.87,6675.62,1.0261
23/10/1996,6675.62,6675.62,6544.37,6648.61,1.0266
24/10/1996,6648.61,6648.61,6562.56,6588.85,1.0259
25/10/1996,6588.85,6592.5,6494.17,6503.36,1.0268
28/10/1996,6503.36,6544.08,6401.08,6401.08,1.0276
29/10/1996,6401.08,6549.76,6320.58,6549.76,1.0281
30/10/1996,6549.76,6591.14,6499.25,6543.23,1.027
31/10/1996,6543.23,6543.52,6471.33,6533.15,1.0272
01/11/1996,6533.15,6643.3,6532.79,6641.18,1.0276
04/11/1996,6641.18,6690.26,6614.58,6658.53,1.0276
05/11/1996,6658.53,6754.87,6658.53,6697.59,1.0276
06/11/1996,6697.59,6757.45,6684.1,6704.6,1.0276
07/11/1996,6704.6,6704.6,6640.12,6666.67,1.0283
08/11/1996,6666.67,6682.65,6558.83,6559.6,1.0291
11/11/1996,6559.6,6598.81,6552.8,6582.91,1.0293
12/11/1996,6582.91,6623.95,6513.98,6523.32,1.0307
13/11/1996,6523.32,6571.76,6481.7,6570.98,1.0304
14/11/1996,6570.98,6594.98,6513.47,6523,1.0302
15/11/1996,#N/A,#N/A,#N/A,#N/A,1.0302
18/11/1996,6523,6558.72,6478.93,6556.25,1.03
19/11/1996,6556.25,6571.53,6516.98,6556.99,1.0299
20/11/1996,6556.99,6560.89,6514.16,6541.3,1.0304
21/11/1996,6541.3,6631.06,6539.63,6625.95,1.0307
22/11/1996,6625.95,6688.58,6625.95,6645.27,1.0307
25/11/1996,6645.27,6688.84,6640.4,6649.21,1.0307
26/11/1996,6649.21,6675.64,6621.54,6631.52,1.032
27/11/1996,6631.52,6635.15,6562.56,6591.89,1.032
28/11/1996,6591.89,6645.98,6558.2,6644.89,1.0324
29/11/1996,6644.89,6691.04,6638.66,6666.09,1.0328
02/12/1996,6666.09,6735.67,6656.47,6735.64,1.0327
03/12/1996,6735.64,6848.76,6735.64,6836.8,1.0328
04/12/1996,6836.8,6874.9,6788.45,6797.61,1.0334
05/12/1996,6797.61,6961.37,6797.61,6947.11,1.0346
06/12/1996,6947.11,6947.11,6743.02,6872.91,1.0347
09/12/1996,6872.91,6913.23,6819.59,6836.37,1.0345
10/12/1996,6836.37,6868.07,6816.5,6855.86,1.0356
11/12/1996,6855.86,6855.86,6665.87,6677.79,1.0366
12/12/1996,6677.79,6738.41,6628.43,6657.46,1.0372
13/12/1996,6657.46,6691.37,6613.83,6680.19,1.0377
16/12/1996,6680.19,6686.36,6615.82,6654.36,1.0385
17/12/1996,6654.36,6794.5,6595.65,6784.58,1.0403
18/12/1996,6784.58,6910.78,6784.58,6910.42,1.038
19/12/1996,6910.42,6965.43,6872.76,6891.65,1.038
20/12/1996,6891.65,6943.74,6891.65,6942.24,1.0388
23/12/1996,6942.24,6942.24,6887.48,6912.58,1.0384
24/12/1996,#N/A,#N/A,#N/A,#N/A,1.0387
25/12/1996,#N/A,#N/A,#N/A,#N/A,1.0387
26/12/1996,6912.58,6963.43,6868.4,6957.76,1.0385
27/12/1996,6957.76,7010.32,6957.76,7006.85,1.0395
30/12/1996,7006.85,7052.26,7006.85,7039.95,1.0391
31/12/1996,#N/A,#N/A,#N/A,#N/A,1.0385
01/01/1997,#N/A,#N/A,#N/A,#N/A,1.0385
02/01/1997,7039.95,7039.95,6955.54,6955.54,1.0393
03/01/1997,6955.54,7006.58,6954.13,6997.76,1.0394
06/01/1997,6997.76,7171.52,6993.64,7159.51,1.0401
07/01/1997,7159.51,7316.31,7157.62,7297.46,1.0401
08/01/1997,7297.46,7459.74,7297.46,7427.02,1.0408
09/01/1997,7427.02,7489.5,7327.56,7454.21,1.041
10/01/1997,7454.21,7491.02,7350.95,7478.34,1.0404
13/01/1997,7478.34,7479.59,7360.32,7411.75,1.0416
14/01/1997,7411.75,7631.86,7411.75,7621.14,1.0418
15/01/1997,7621.14,7670.68,7558.06,7667.58,1.0426
16/01/1997,7667.58,7742.5,7632.94,7655.82,1.0432
17/01/1997,7655.82,7816.25,7646.67,7816.25,1.0435
20/01/1997,7816.25,7836.24,7734.71,7835.44,1.0426
21/01/1997,7835.44,7923.02,7749.98,7904.91,1.043
22/01/1997,7904.91,7927.69,7798.72,7817.5,1.0431
23/01/1997,7817.5,7893.56,7778.56,7890.67,1.0434
24/01/1997,7890.67,7890.67,7740.64,7759.79,1.0438
27/01/1997,7759.79,7830.48,7744.21,7759.06,1.0434
28/01/1997,7759.06,7871.26,7756.26,7849.79,1.0445
29/01/1997,7849.79,7852.11,7727.01,7736.91,1.0452
30/01/1997,7736.92,7802.14,7721.01,7788.81,1.0453
31/01/1997,7788.81,7991.69,7788.81,7964.69,1.0456
03/02/1997,7964.69,8104.13,7964.69,8095.94,1.0453
04/02/1997,8095.94,8123.72,8053.53,8102.25,1.0461
05/02/1997,8102.25,8233.43,8102.25,8171.19,1.0466
06/02/1997,8171.19,8171.19,8113.37,8147.85,1.0468
07/02/1997,8147.85,8316.55,8137.67,8316.55,1.0476
10/02/1997,#N/A,#N/A,#N/A,#N/A,1.0476
11/02/1997,#N/A,#N/A,#N/A,#N/A,1.0476
12/02/1997,8316.55,8674.64,8316.55,8670.63,1.0471
13/02/1997,8670.63,8929.87,8634.45,8764.92,1.0486
14/02/1997,8764.92,8907.39,8645.21,8699.99,1.0491
17/02/1997,8699.99,8820.94,8634.15,8816.08,1.0487
18/02/1997,8816.08,8953.49,8738.97,8950.25,1.0491
19/02/1997,8950.25,9062.88,8750.08,8771.35,1.0501
20/02/1997,8771.35,8806.52,8635.11,8701.82,1.0501
21/02/1997,8701.82,8743.88,8652.8,8719.52,1.0505
24/02/1997,8719.52,8959.33,8645.73,8959.25,1.0502
25/02/1997,8959.25,9181.05,8959.25,9149.12,1.0506
26/02/1997,9149.12,9150.44,8815.31,8927.87,1.0513
